Retrieving list of stopwords...
Reading Input JSON...
Done loading json!
Merging Results...
Done merging results...
Final Results: 
rorting 15
bob 15
innovation 15
goods 15
invalid 15
actors 15
persuadable 15
ibm 15
staffers 15
receive 15
aadhaar 15
a/b 15
badger 15
deprecated 15
segall 15
geofeedia 15
wilmot 15
koreas 15
ca= 15
gather 15
fans 15
held 15
libri 15
bbc 15
due 15
speaker 15
php 15
demographic 15
denyse 15
function 15
witness 15
mturk 15
protest 14
skills 14
cma 14
browsing 14
continue 14
julia 14
therefore 14
strategists 14
acknowledged 14
easier 14
affiliate 14
force 14
expo 14
seen 14
brandon 14
circles 14
judges 14
despite 14
respond 14
playstation 14
capacity 14
approach 14
men 14
launched 14
cycle 14
uploading 14
facts 14
handshake 14
rnc 14
therrien 14
steps 14
illustration 14
presence 14
offer 14
plaintiffs 14
floor 14
certainly 14
afghanistan 14
trial 14
studies 14
lobbying 14
reuters/lucas 14
fed 14
stress 14
switch 14
vtb 14
indigenous 14
returns 14
gid 14
williams 14
conspiracy 14
threshold 14
congressional 14
carolina 14
husband 14
trader 14
multi-account 14
correspondent 14
unicode 14
announcement 14
quit 14
disinformation 14
testimony 14
agree 14
connect 14
walker 14
behavioral 14
thursday 14
misinformation 14
joined 14
prior 14
markets 14
flag 14
akre 14
helped 14
station 14
analytical 14
lewandowski 14
reliance 14
hired 14
shortly 14
thomas 14
particularly 14
stamoss 14
arf 14
close 14
strengthen 14
surveys 14
italy 14
ogis 14
contractor 14
format 14
matters 14
game 14
senate 14
plan 14
forward 14
required 14
pasquet 14
cnns 14
paintings 14
leadership 14
oval 14
gateway 14
meanwhile 14
intercept 14
laurie 14
industries 14
wylies 14
edit 14
critics 14
architecture 14
revealed 14
populist 14
segment 14
supported 14
ones 14
legitimate 14
taxes 14
morning\ 14
opening 14
hawking 14
partner 14
forbes 14
citizen 14
usage 14
noted 14
e-mail 14
selecting 14
piece 14
play 14
foia 14
blockchains 13
fossil 13
path 13
www.centerforcopyrightintegrity.com__________________________________________ 13
tinder 13
meaningful 13
enter 13
executed 13
logging 13
features 13
ran 13
transactions 13
coin 13
jaguar 13
spokesperson 13
boss 13
faga 13
near 13
trusted 13
evil 13
raised 13
analyst 13
negotiations 13
nixs 13
felt 13
scores 13
understanding 13
cadre 13
applications 13
wikileaks 13
definitions 13
texas 13
queried 13
term 13
entirely 13
iab 13
representing 13
san 13
performance 13
tracy 13
damage 13
especially 13
turkers 13
effective 13
tiger 13
newspaper 13
pennsylvania 13
guided 13
competition 13
questionnaire 13
thousands 13
determine 13
distracted 13
low 13
artist 13
chris 13
woman 13
scientists 13
texting 13
slater 13
coalition 13
entrapment 13
seoul 13
advice 13
soon 13
yandex 13
concentric 13
ambron 13
largest 13
onieros 13
bigelow 13
channeling 13
experiment 13
currently 13
bots 13
exhibition 13
tamimi 13
fast 13
vice 13
mutation 13
tokyo 13
kit 13
deleting 13
giving 13
cell 13
mackinnon 13
u.k. 13
decentralized 13
portability 13
physical 13
ferguson 13
warner 13
strategic 13
veterans 13
asean 13
psyops 13
border 13
cabinet 13
agreed 13
insight 13
hft 13
conversions 13
meltwater 13
jae-in 13
arabic 13
thought 13
position 13
gun 13
utah 13
refugees 13
clusters 13
anti-trust 13
lead 13
includes 13
sharia 13
+/- 12
represented 12
michal 12
forum 12
engineers 12
recommend 12
propublica 12
returned 12
recovery 12
bannons 12
psychic 12
lauten 12
western 12
macbook 12
lewis 12
gods 12
accused 12
codeigniter 12
commerce 12
presidency 12
charlie 12
investments 12
coins 12
clinical 12
medium 12
father 12
smartphone 12
enos 12
____ 12
transparency 12
inauguration 12
blackberrys 12
originally 12
snp 12
remember 12
johnson 12
oculus 12
african 12
wtvt 12
canberra 12
monitor 12
drop 12
___________________ 12
quite 12
wide 12
saw 12
note 12
donation 12
adviser 12
magerman 12
hedge 12
ignored 12
declared 12
cancel 12
lamarque 12
antivirus 12
hughes 12
langlands 12
devoe 12
lundry 12
sides 12
getupside 12
merchants 12
browsers 12
compliance 12
africa 12
narwhal 12
installed 12
communities 12
easily 12
statista 12
lauristin 12
friday 12
leading 12
spiritually 12
reinhard 12
scotland 12
majority 12
measures 12
significant 12
fine 12
domestic 12
n-word 12
loan 12
throughout 12
warzel 12
brussels 12
opt-in 12
projects 12
names 12
usual 12
prosecution 12
toggle 12
zdnet 12
maryland 12
sen. 12
fearnow 12
win 12
ublock 12
rape 12
buildings 12
attend 12
rubio 12
identified 12
electronics 12
alleged 12
surely 12
davis 12
ars 12
collecting 12
areas 12
career 12
genetic 12
define 12
pie 12
april 12
daigle 12
eric 12
material 12
audio 12
latest 12
voting 12
lose 12
self 12
liking 12
ballot 12
avoid 12
phonedog 12
billions 12
minutes 12
inc 12
westminster 12
inflation 12
samsung 12
strings 12
pods 12
replication 11
ahed 11
plot 11
magee 11
answer 11
nullable 11
finra/nasd 11
clicker 11
folder 11
chronological 11
method 11
rapporteur 11
lenses 11
player 11
adding 11
universe 11
happy 11
telecoms 11
port 11
coerced 11
migrants 11
produce 11
mao 11
appropriate 11
namo 11
moscow 11
complaints 11
explicitly 11
gec 11
screen 11
thousand 11
huffpost 11
kaiser 11
mood 11
refer 11
schrems 11
uid 11
cinema 11
introspection 11
cpi 11
activities 11
dictatorship 11
saudi 11
marijuana 11
purchases 11
utilize 11
blood 11
invasion 11
thrilling 11
offline 11
pilots 11
simas 11
opposition 11
encountered 11
president-elect 11
indication 11
journalism 11
laughing 11
blackburn 11
range 11
bangladesh 11
ordered 11
antitrust 11
graphic 11
notes 11
gon 11
nara 11
gershkoff 11
counting 11
litigation 11
kochs 11
clickbait 11
scotus 11
rosen 11
murdoch 11
daniels 11
erik 11
oral 11
simpson 11
prize 10
snowden 10
warn 10
unordered 10
denver 10
gazprom 10
tourism 10
operatives 10
responsible 10
metrics 10
germany 10
chang 10
twice 10
attacker 10
liberties 10
offices 10
exist 10
and/or 10
serious 10
zone 10
proposals 10
weird 10
riot 10
constituents 10
nbsp 10
views 10
nonterminal 10
transition 10
draft 10
skinner 10
slow 10
lexical 10
literal 10
israels 10
skillshare 10
period 10
west 10
imtiaz 10
missiles 10
renewable 10
misuse 10
briefings 10
libe 10
accepted 10
ansip 10
google+ 10
mail.ru 10
jerusalem 10
stars 10
adsl 10
adwords 10
someones 10
pool 10
paced 10
alj 10
executing 10
crimson 10
safety 10
which-50 10
rorts 10
bloggers 10
investigating 10
khan 10
dilly 10
redesign 10
personalization 10
marsilio 10
psychology 10
a.m.g 10
aug. 10
cave 10
parker 10
commissions 10
withdrawal 10
frequency 10
dump 10
=c2=a0 10
demint 10
combine 10
e-cigarettes 10
funny 10
deluded_jim 10
uses 10
contractors 10
lanes 10
humanoid 10
sydney 10
spine 10
toyota 10
scale 10
god 10
ids 10
adults 10
lane 10
formats 10
spy 10
homepod 10
vehicle 10
peace 10
cabbage 10
healthcare 10
bridges 10
beardsley 10
literacy 10
interaction 10
quality 10
october 10
norton 10
oettinger 10
discretionary 10
centcom 10
nationbuilder 10
terminal 10
joint 10
unfriending 10
hiring 10
progress 10
equal 10
________________ 10
underground 10
phi 10
stored 10
capabilities 10
monique 10
non-null 10
1984 10
extended 10
davos 10
tactics 10
implement 10
campus 10
aug 9
disability 9
controversy 9
highly 9
brg 9
poker 9
eisenhower 9
cable 9
crimes 9
kpcb 9
boston 9
nano 9
sugar 9
monero 9
wikipedia 9
glasgow 9
fatehkia 9
2nd 9
speak 9
locations 9
milners 9
patent 9
clearly 9
ocean 9
requestor 9
gift 9
gawker 9
tutorial 9
denied 9
protagonist 9
corp 9
census 9
magazine 9
dowd 9
fury 9
bossie 9
oversight 9
choice 9
patient 9
optional 9
box 9
funded 9
oregon 9
agent 9
cube 9
parliamentary 9
shoes 9
cold 9
wallace 9
offers 9
realistic 9
magazin 9
___ 9
pentland 9
gordon 9
personalities 9
cards 9
orality 9
conversion 9
elan 9
ground 9
robo 9
contracts 9
summary 9
coded 9
ways 9
sacked 9
champions 9
spirit 9
eyal 9
xkeyscore 9
costs 9
comes 9
grouped 9
aggregator 9
fargo 9
scientific 9
sql 9
buying 9
serialized 9
cooperative 9
condition 9
brief 9
asks 9
mira 9
statisticians 9
orbitz 9
soundtrack 9
cyclists 9
style 9
premarket 9
odinga 9
insurance 9
moat 9
park 9
lin 9
gym 9
coode 9
prophecy 9
nasdaq 9
personalise 9
banned 9
river 9
autodrive 9
sequences 9
everson 9
pcap 9
immoral 9
json 9
flight 9
governor 9
schneiderman 9
credentials 9
greanville 9
follows 9
warwickshire 9
disclosure 9
das 9
registered 9
heart 9
larry 9
pain 9
boolean 9
rallies 9
existing 9
diresta 9
capital 9
growing 9
poverty 9
spicer 9
doubt 9
zomorodi 9
purpose 9
memoir 9
lines 9
wood 9
speaks 9
handley 9
oub 9
banking 9
molly 9
retail 9
horiba 9
unless 9
crew 9
nuneaton 9
watching 9
mohammed 9
underscores 9
nature 9
yan 9
liverpool 9
license 9
matthew 9
deserve 9
provisions 9
exertions 9
sequence 9
paulino 9
subsequently 9
pressure 9
surge 9
promise 9
sterlings 9
demilitarized 9
ecosystem 9
gaps 9
tatham 9
nra 9
whose 8
kleiman 8
ca-political 8
